brand,model,screen_size,color,harddisk,cpu,ram(GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,currency_symbol,harddisk_new_GB
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
apple,MacBook Air,13.0,Silver,256 GB,Unknown,8,Mac OS,Backlit Keyboard,Integrated,,,4.8,689.99,$,256.0
apple,MacBook Air,15.0,Midnight,256 GB,Unknown,8,Mac OS,,Integrated,,,4.8,1144.48,$,256.0
acer,A315-24P-R7VH,15.0,Silver,128 GB,Ryzen 3,8,Windows 11 S,Backlit Keyboard,Integrated,,,4.5,299.99,$,128.0
apple,MacBook Pro,13.0,Space Gray,256 GB,Unknown,8,Mac OS,Backlit Keyboard,Integrated,,,4.7,965.08,$,256.0
acer,CB315-3HT,15.0,Silver,64 GB,Celeron N4020,4,Chrome OS,Support Stylus,Integrated,,,4.4,239.99,$,64.0
asus,ROG Strix G16,16.0,Eclipse Gray,512 GB,Core i7,16,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4,1274.03,$,512.0
acer,A515-56-347N,15.0,Silver,128 GB,Core I3 1115G4,8,Windows 11 S,Amazon Alexa,Integrated,,,4.3,299.99,$,128.0
acer,AN515-58-57Y8,15.0,Black,512 GB,Core i5,16,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4,814.77,$,512.0
hp,Notebook,14.0,Grey,1 TB,Ryzen 3 3250U,16,Windows 11,Anti Glare Coating,Integrated,,,4.4,379.99,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
acer,Nitro 17,17.0,Black,1 TB,AMD Ryzen 7,16,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.4,1199.99,$,1024.0
hp,hp laptop,15.0,,1 TB,Intel Core i3,16,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.2,473.0,$,1024.0
asus,FX506HF-ES51,15.0,Graphite Black,512 GB,Core i5,8,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.5,699.99,$,512.0
msi,Thin GF63 12VE-066US,15.0,,512 GB,Core i7,16,Windows 11 Home,Anti Glare Coating,RTX 4050,,,4.5,938.0,$,512.0
lenovo,IdeaPad 3 81X800ENUS,15.0,Almond,256 GB,Core i3,20,Windows 11,Backlit Keyboard,Integrated,,,4.3,419.0,$,256.0
lenovo,IdeaPad Gaming 3,15.0,Onyx Grey,256 GB,Ryzen 5,8,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.3,801.96,$,256.0
asus,ROG Strix G16,16.0,Eclipse Gray,1 TB,Intel Core i9,16,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.5,1799.99,$,1024.0
hp,Chromebook 14a-na0226nr,14.0,Mineral Silver,64,Celeron,4,Chrome OS,Anti-Glare,Integrated,,,4.4,249.0,$,64.0
hp,TPN-I139_320M3AV,17.0,Silver,1 TB,Core i3 Family,32,Windows 11 Home,HD Audio,Integrated,,,4.6,510.0,$,1024.0
hp,i5 12th Gen 15-dy5399nr,15.0,Silver,512 GB,Core i5,16,Windows 11 Home,Micro-edge Bezel,Integrated,,,4.3,527.15,$,512.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lenovo,IdeaPad,14.0,Grey,1 TB,Core i3 Family,20,Windows 11 Home,Dolby,Integrated,,,4.3,359.0,$,1024.0
hp,HP Chromebook,14.0,Gray,64 GB,Celeron N,4,Chrome OS,,Integrated,Intel UHD Graphics 600,,3.8,209.99,$,64.0
lenovo,Ideapad 3i,15.0,Arctic Grey,512 GB,Core i5,8,Windows 11 Pro,Anti Glare Coating,Integrated,,,4.5,637.35,$,512.0
dell,Inspiron,15.0,Black,1 TB,Celeron N4020,16,Windows 11 Home,Anti Glare Coating,Integrated,,,4.1,439.0,$,1024.0
acer,CP314-1H-P1Q5,14.0,Silver,128 GB,Pentium,8,Chrome OS,,Integrated,Intel UHD Graphics,,4.3,372.66,$,128.0
msi,Katana 15 B13VGK-484US,15.0,,1 TB,Core i7,16,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,1429.0,$,1024.0
lenovo,IdeaPad 3,14.0,Gray,128 GB,Core i3 Family,8,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,,4.5,281.69,$,128.0
asus,ASUS Vivobook Go 15,15.0,Star Black,64 GB,Celeron,4,Windows 11 S,Thin-bezel,Integrated,,,4.1,236.47,$,64.0
hp,HP Laptop 15-ef2024nr,15.0,Natural silver,256 GB,Ryzen 3,8,Windows 11 Home,,Integrated,,,4.5,337.96,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
asus,UX5304VA-XS76T,13.0,Gray,1 TB,Core i7,32,Windows 11 Pro,Dolby,Integrated,,,4.3,1399.99,$,1024.0
asus,ROG Strix G15,15.0,Eclipse Gray,1 TB,AMD Ryzen 7,16,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.6,1044.77,$,1024.0
lenovo,IdeaPad 3,15.0,Blue,64 GB,Celeron P4500,8,Chrome OS,Narrow,Integrated,,,4.2,294.29,$,64.0
acer,"2023 Newest Acer 15.6"" Chromebook",15.0,Silver,64 GB,Celeron N4020,4,Chrome OS,Anti-glare,Integrated,,,4.2,224.0,$,64.0
asus,Chromebook C425 Clamshell,14.0,Silver,128 GB,Celeron N4020,4,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,,4.3,225.82,$,128.0
lenovo,Flex 5,14.0,,256 GB,AMD Ryzen 5 5500U,16,Windows 11 Home,,Integrated,AMD Radeon R5,2.1 GHz,4.2,539.99,$,256.0
acer,A115-32-C96U,15.0,Silver,128 GB,Celeron N,4,Windows 11 S,,Integrated,Intel UHD Graphics,,4.3,229.99,$,128.0
asus,ROG Flow Z13,13.0,Black,1 TB,Core i9,16,Windows 11 Home,Stylus,Dedicated,,,4.4,1749.99,$,1024.0
hp,HP,15.0,Touchscreen,1 TB,Core i3-1115G4E,16,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.5,465.0,$,1024.0
asus,ROG Strix SCAR 16,16.0,Off Black,2 TB,Core i9,32,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.1,3349.0,$,2048.0
asus,ROG Strix SCAR 18,18.0,Black,2 TB,Intel Core i9,32,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.3,3899.0,$,2048.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lg,17Z90Q-K.ADB9U1,17.0,Black,2 TB,Core i7,32,Windows 11 Home,Lightweight,Intel XE,,,4.3,1734.71,$,2048.0
asus,ROG Flow Z13,13.0,Acronym,1 TB,Core i9,32,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,4.2,2499.99,$,1024.0
lenovo,Chromebook,11.0,Black,32 GB,MediaTek MT8183,4,Chrome OS,Anti-glare,Integrated,,,4.3,114.74,$,32.0
