brand,product_count,avg_price,min_price,max_price
msi,66,1902.29,535.88,5499
apple,22,1860.68,689.95,4888.99
alienware,13,1805.12,999.95,3495
gigabyte,11,1772.24,698.25,3499.99
lg,35,1564.58,900.9,2489.99
dell,1456,1549.47,57.99,11261.24
asus,153,1233.05,129.99,3899
microsoft,11,1195.42,529,3699.99
hp,216,1110.93,75,5598.29
lenovo,270,1065.6,109,4119
toughbook,11,1014.05,508.74,1999
acer,100,779.73,129.99,3399
samsung,18,738.78,85,2388.42
panasonic,12,659.89,299.95,1773.99
rokc,8,486.24,249.99,749.99
