brand,model,price,rating_num,ram_gb,harddisk_gb,screen_size,spec_score,cp_score
lenovo,T450,139.98,5,16,256,14,2.4499999999999997,0.017503
asus,null,135.49,4.5,4,128,14,1.95,0.014392
latitude,Latitude E6410,111.05,3.4,8,128,14,1.585,0.014273
hp,Elitebook 840 G3,159.99,4,8,256,14,1.9,0.011876
lenovo,"Lenovo 14"" Laptop",181.99,4.2,4,256,14,1.905,0.010468
latitude,E7440,133.55,2.7,8,256,14,1.38,0.010333
dell,E7440,188,3.9,8,256,14,1.8599999999999999,0.009894
lenovo,Lenovo Ideapad 3,185.95,4.1,4,128,15.6,1.7899999999999998,0.009626
lenovo,Thinkpad T480,219,4.1,16,256,14,2.09,0.009543
quality refurbished computers,E6520,222.88,3.4,8,1024,15.6,2.11,0.009467
lenovo,L14,191.87,4,4,128,14,1.75,0.009121
hp,EliteBook Folio,252.98,5,4,256,14,2.225,0.008795
dell,Dell Latitude 3420,285.98,4.6,16,512,14,2.4399999999999995,0.008532
onn,null,203,3.9,4,128,13.3,1.71,0.008424
asus,Chromebook C425 Clamshell,225.82,4.3,4,128,14,1.8699999999999999,0.008281
hp,1A1L3UA,269,3.8,4,1024,15.6,2.195,0.00816
acer,A115-32-C96U,229.99,4.3,4,128,15.6,1.8699999999999999,0.008131
lenovo,AMD Athlon,248,4.6,4,128,14,1.9899999999999998,0.008024
lenovo,ThinkPad T470,295.97,5,8,256,14,2.3,0.007771
lenovo,81F5018EUS,247.49,4.4,4,128,15.6,1.9100000000000001,0.007717
dell,Dell Latitude 14 5000 E5470,339,5,16,512,14,2.5999999999999996,0.00767
dell,Dell Latitude 7480 Laptop,219,3.4,8,256,14,1.66,0.00758
hp,B09HSNNCQL,288,5,4,128,15.6,2.1500000000000004,0.007465
lenovo,Lenovo Ideapad,299.99,5,4,256,15.6,2.225,0.007417
hp,HP ProBook,245,4.1,4,128,11.6,1.7899999999999998,0.007306
lenovo,20GB000LUS,224.99,3.5,8,128,11.6,1.625,0.007223
lenovo,IdeaPad 3,281.69,4.5,8,128,14,2.025,0.007189
hp,ELITEBOOK 820G3,307.98,4,16,512,12.5,2.2,0.007143
lenovo,null,315,5,8,128,14,2.225,0.007063
hp,Notebook,379.99,4.4,16,1024,14,2.66,0.007
acer,A315-24P-R7VH,299.99,4.5,8,128,15.6,2.025,0.00675
hp,"HP 14"" Chromebook",265.99,3.9,8,128,14,1.785,0.006711
asus,ASUS Chromebook C425,284.92,4.3,4,128,14,1.8699999999999999,0.006563
lenovo,null,311.6,3.6,16,512,14,2.04,0.006547
hp,HP,379,4.3,8,1024,14,2.4699999999999998,0.006517
acer,A515-56-347N,299.99,4.3,8,128,15.6,1.9449999999999998,0.006484
lenovo,IdeaPad 3 15ITL6,349.99,5,4,256,15.6,2.225,0.006357
hp,HP Laptop 15-ef2024nr,337.96,4.5,8,256,15,2.1,0.006214
hp,Pavilion,313,4.3,8,128,14,1.9449999999999998,0.006214
dell,5310,425,5,16,512,14,2.5999999999999996,0.006118
lenovo,Lenovo IdeaPad 1,310.19,4.3,4,128,14,1.8699999999999999,0.006029
hp,TPN-I139_320M3AV,510,4.6,32,1024,17.3,3.04,0.005961
hp,Laptop 15-ef0021nr,346.9,4.4,8,256,15.6,2.06,0.005938
dell,Dell Latitude,350,4,8,512,14,2.05,0.005857
hp,HP,465,4.5,16,1024,15.6,2.7,0.005806
dell,Inspiron,439,4.1,16,1024,15.6,2.54,0.005786
asus,Vivobook,357.5,4.4,8,256,14,2.06,0.005762
lenovo,Thinkpad,286,3.7,4,128,11.6,1.6300000000000001,0.005699
lenovo,IdeaPad 3 15IML05,324.86,2.9,4,1024,15.6,1.835,0.005649
hp,HP Notebook,316.99,3.9,8,128,15.6,1.785,0.005631
asus,ASUS VivoBook,319,4.1,4,128,15.6,1.7899999999999998,0.005611
latitude,Latitude,289.95,3.5,8,128,13.3,1.625,0.005604
asus,ASUS Laptop L410,319.99,4.1,4,128,14,1.7899999999999998,0.005594
hp,HP 15 scarlet red,469,4.3,16,1024,15.6,2.62,0.005586
hp,17-by4013dx,378,4.5,8,256,15.6,2.1,0.005556
dell,Dell Latitude,399,4,16,512,14,2.2,0.005514
hp,hp laptop,473,4.2,16,1024,15.6,2.58,0.005455
samsung,Galaxy Book Go,345,4.3,4,128,14,1.8699999999999999,0.00542
lenovo,Lenovo Thinkpad,284.97,3.1,8,256,14,1.54,0.005404
dell,Latitude 5000,361.65,4.5,4,128,14,1.95,0.005392
hp,HP Notebook 15-dy1731ms,377,4.5,8,128,15.6,2.025,0.005371
hp,Pavilion,428.45,5,8,256,14,2.3,0.005368
asus,VivoBook 15,379,4.5,8,128,15.6,2.025,0.005343
dell,Inspiron,548,4.3,32,1024,15.6,2.92,0.005328
acer,Aspire 5,367.29,4.5,4,128,15.6,1.95,0.005309
acer,null,405.98,5,4,128,14,2.1500000000000004,0.005296
hp,HP Pavilion,369,4.5,4,128,11.6,1.95,0.005285
lenovo,Lenovo Ideapad,400,4.5,8,256,15.6,2.1,0.00525
acer,CP314-1H-P1Q5,372.66,4.3,8,128,14,1.9449999999999998,0.005219
lenovo,Lenovo_i3_8GB_Red,458.8,4.1,8,1024,15.6,2.3899999999999997,0.005209
lenovo,IdeaPad 3 15ITL05,389,4.3,8,256,15.6,2.02,0.005193
acer,null,415.98,5,4,128,15.6,2.1500000000000004,0.005169
asus,Vi F5,370.23,4.2,8,128,15.6,1.905,0.005145
lenovo,"IdeaPad 3 15""",395,4.5,4,256,15.6,2.025,0.005127
