feature,importance,rank
num__ram_gb,0.47592585071929644,1
num__screen_size,0.2482822204986692,2
num__harddisk_gb,0.15169927439814868,3
cat__brand_hp,0.034575845473070854,4
cat__brand_dell,0.02608627789382634,5
cat__brand_razer,0.011477160860526183,6
cat__brand_msi,0.010951893836160513,7
cat__brand_lenovo,0.010273158174567984,8
cat__brand_asus,0.009034272581168434,9
cat__brand_acer,0.007705507354442412,10
cat__brand_apple,0.004642261031213134,11
cat__brand_lg,0.00408136445722351,12
cat__brand_gigabyte,0.00200649653154378,13
cat__brand_alienware,0.001039924973416915,14
cat__brand_samsung,0.0007223244681982864,15
cat__brand_toughbook,0.0004752079339913924,16
cat__brand_microsoft,0.0003988365435421823,17
cat__brand_rokc,0.0003017129136269186,18
cat__brand_panasonic,0.00023233675480911528,19
cat__brand_latitude,0.00008807260255784653,20
