brand,price_band,product_count
acer,High,15
acer,Low,45
acer,Mid,27
acer,Premium,13
alienware,Premium,10
apple,High,8
apple,Premium,10
asus,High,33
asus,Low,42
asus,Mid,31
asus,Premium,47
dell,High,331
dell,Low,47
dell,Mid,444
dell,Premium,634
gigabyte,Premium,6
hp,High,27
hp,Low,69
hp,Mid,62
hp,Premium,58
lenovo,High,51
lenovo,Low,79
lenovo,Mid,79
lenovo,Premium,61
lg,High,10
lg,Premium,21
microsoft,Mid,6
msi,High,15
msi,Mid,10
msi,Premium,41
panasonic,Mid,7
rokc,Low,5
samsung,High,6
samsung,Low,10
toughbook,Mid,8
