ram_gb,harddisk_gb,product_count,avg_price
null,160,2,99.5
null,256,9,996.82
null,320,1,299.88
null,500,5,341.23
null,512,13,1539.43
null,1000,9,1435.32
null,1024,2,1939.25
null,2000,9,1397.14
null,2048,1,1827.69
1,32,1,295.4
1,512,1,1499
1,1024,1,1399.9
2,16,3,134.65
2,32,3,219.28
2,300,1,84.54
2,320,1,99.99
4,16,2,66.5
4,32,33,254.81
4,64,46,238.4
4,65,1,349.95
4,128,49,501.63
4,160,1,149.95
4,250,1,299.95
4,256,13,680.73
4,320,5,185.26
4,500,11,342.71
4,512,4,1159.96
4,1000,2,502.02
4,1024,3,864.29
4,2048,2,719.99
4,4096,1,3271.99
6,256,1,308.42
6,1000,1,528.18
6,1024,1,399
8,8,2,555.05
8,32,2,397.49
8,64,11,375.17
8,120,1,159
8,128,47,586.55
8,240,2,435
8,256,205,804.32
8,320,1,138
8,480,1,552.99
8,500,9,522.45
8,512,103,877.95
8,1000,14,1041.53
8,1024,12,734.58
8,2000,6,703.65
8,2048,5,1079.8
8,4000,2,911.37
12,128,2,507.57
12,256,9,719.53
12,512,14,808.23
12,1000,1,2086.99
12,1024,4,806.75
12,2048,2,1379
12,4096,1,1409
16,16,2,629.97
16,64,1,389.99
16,128,10,1138.19
16,256,187,1183.35
16,480,1,606.89
16,500,5,501.06
16,512,421,1398.65
16,1000,112,1550.07
16,1024,123,1480.02
16,1256,1,1999
16,2000,25,1387.77
16,2048,21,1664.07
16,3072,1,1729
16,4000,9,2026.93
16,4096,4,2006.5
16,6000,1,1670.99
16,8000,5,2721.74
20,256,1,419
20,512,2,542.84
20,640,1,389.99
20,1000,1,639.99
20,1024,4,538.75
20,1152,1,389.99
24,512,5,1155.74
24,1000,5,1216.69
24,1024,5,1181
24,2048,4,1324
31,1024,1,2132.97
32,32,6,1767.1
32,128,1,660.99
32,256,28,1305.92
32,500,1,645.99
32,512,127,1757.46
32,1000,117,1862.15
32,1024,125,1987.52
32,1512,1,3495
32,2000,54,1865.34
32,2048,35,2125.72
32,4000,10,2092.9
32,4096,1,1949
32,6000,1,1703.28
32,8000,6,2916.1
32,8192,1,2489.99
40,1000,3,1359.14
40,1024,1,1096.99
40,2000,3,1363.97
40,2048,3,1979.33
40,4000,3,1515.21
48,1024,3,1912.33
48,2000,1,1419.99
48,2048,7,1603.43
48,4096,1,2179
64,128,2,736.42
64,256,4,1174.54
64,500,1,721.83
64,512,27,2135.05
64,1000,52,2339.21
64,1024,23,2906.29
64,2000,47,2567.71
64,2048,40,1998.95
64,4000,19,2666.27
64,4096,17,2764.59
64,6000,1,1790.48
64,8000,5,2427.02
64,8192,1,4339
128,32,2,4618.45
128,4000,1,4736.68
